2019 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: retention, and completion and attainment data will be made available in March.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
A,RECTYPE,"Record type: 
1= school or college; 
3= sixth form centre/consortium (see separate list of the sixth form centres and consortia and their feeder schools and colleges); 
4= Local Authority; 
5= National (all schools and colleges); 
7= National (state-funded schools and colleges)",,,,
B,ALPHAIND,Alphabetic index,,,.,.
C,REGION,Region code (see separate list of region and local authority codes),,,,.
D,LASORT,Local authority sort code within region,,.,,.
E,LEA,LA number,,,,.
F,ESTAB,Establishment number,,,.,.
G,URN,Unique Reference Number of establishment,,,.,.
H,PCON_CODE,School parliamentary constituency code,,.,.,.
I,PCON_NAME,School parliamentary constituency name,,.,.,.
J,SCHNAME_AC,Name of converter academy,,.,.,.
K,SCHNAME,School/college name,,,.,.
L,ADDRESS1,School/college address (1),,.,.,.
M,ADDRESS2,School/college address (2),,.,.,.
N,ADDRESS3,School/college address (3),,,.,.
O,TOWN,Town where school/college is located,,,.,.
P,PCODE,School/college postcode,,,.,.
Q,TELNUM,School/college telephone number ,,,.,.
R,CONTFLAG,"Contingency flag: results significantly affected: 
0= not significantly affected; 1= significantly affected",,,,.
S,NFTYPE/FESITYPE,School type/FE college type,,,.,.
T,RELDENOM,Religious character ,,,.,.
U,ADMPOL,"Admissions policy
",,,.,.
V,ADMPOL_PT,Admissions policy - new definition from 2019 onwards,,.,.,.
W,GEND1618,"Gender of sixth form: girls, boys or mixed",,.,.,.
X,FEEDER,"Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:
0= not a feeder school/college; 1= feeder school/college",,.,.,.
Y,AGERANGE,Age range,,.,.,.
Z,ICLOSE,Closed school/college flag: 0= open; 1= closed,,.,.,.
AA,TABKS2,"Indicates if a school is published in the primary school (Key Stage 2) performance tables:
0= No; 1= Yes",,.,.,.
AB,TAB15,"Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 
0= No; 1= Yes",,.,.,.
AC,EXAMCONF,"Indicates if a school or college has confirmed their results:
blank/null= confirmed; R= not confirmed",.,.,.,.
AD,DUMMY,Dummy field,.,.,.,.
AE,TPUP1618,Number of 16-18 year old students in sixth form,,,.,.
